n,,q,,p,te,P
750,,18.30925768,,0.788754,25.07429029,730.5479923
750,,19.9618875,,0.520885125,26.40930463,783.377161
750,,2.081674313,,1.52618975,25.96885938,421.5282868
750,,3.802113094,,1.578009875,25.79970288,476.8318392
750,,5.30727675,,1.655340625,26.66463538,533.8528917
750,,6.927136125,,2.083452,27.4210525,595.5028617
750,,8.368775906,,1.73586075,28.79664613,655.1586576
750,,10.24273088,,1.843486625,26.38058,723.1676247
750,,11.72671978,,1.7972475,28.36896713,795.6326021
750,,13.35187275,,1.89530625,26.607186,872.4166873
750,,14.99114222,,1.9271955,27.5678675,957.2017006
750,,16.59512081,,1.769344375,26.91677438,1046.500537
750,,18.23262591,,1.670488125,26.97422375,1142.61788
750,,19.88601188,,1.882550875,25.74863675,1252.186279
750,,2.002269375,,2.994684,24.22941963,449.8742218
750,,3.585073125,,2.958011375,26.8625165,547.1542728
750,,5.160818813,,2.805740625,26.80825888,645.0787356
750,,6.694215094,,2.439813,26.01673413,746.280255
750,,8.312310094,,2.827266125,27.36360275,853.9561291
750,,10.07686284,,2.928514,26.04226713,965.7564883
750,,11.66143116,,2.9787395,28.05618725,1081.115479
750,,13.20365034,,3.236243875,27.2295545,1203.546607
750,,14.91879572,,3.053678875,27.44339388,1335.128418
750,,16.61100188,,3.3462615,25.88906863,1482.059009
750,,18.08087428,,3.22667725,27.33487813,1642.767944
750,,19.79954869,,3.225082875,29.05835975,1808.18491
750,,2.076380531,,4.249521,25.39436563,487.9666744
750,,3.623893219,,4.353160625,26.249723,623.3362485
750,,5.213755406,,4.064564125,26.07099175,763.4343375
750,,6.838908563,,4.212051375,26.90400788,909.129964
750,,8.405831438,,4.326852125,26.52739513,1066.350171
750,,10.05568819,,4.266262625,25.33691625,1227.368123
750,,11.71083881,,4.3882385,28.51259063,1387.792029
750,,13.23364763,,4.086089125,25.38798225,1563.255359
750,,14.9434995,,4.73104675,25.91460163,1746.950256
750,,16.547478,,4.799608375,27.74979063,1952.907878
750,,2.171666344,,5.4613075,29.438164,527.930255
750,,3.705062625,,5.79136,26.94549913,705.4264283
750,,5.354919563,,5.4541325,27.16572163,891.5999487
750,,6.725977219,,5.764254375,27.00614013,1080.194995
750,,8.35289475,,5.647859,27.12742213,1280.784248
750,,10.01333888,,5.763457,26.09014138,1481.82185
750,,11.61555291,,6.080754125,28.07214538,1689.913262
750,,2.157549938,,5.69409825,26.581653,554.0422607
750,,3.641538844,,7.121136625,27.26466238,788.9522825
750,,5.162583281,,6.923424125,27.39551925,1015.77583
750,,6.725977125,,7.442419375,27.571059,1253.660767
750,,8.356423969,,7.19208975,26.62314413,1505.587389
750,,10.09097925,,7.817914,28.46152463,1754.537666
750,,2.071086938,,7.298121125,27.519993,578.0300702
750,,3.542724,,9.013756,26.10609975,875.1607056
750,,5.081413969,,8.627897625,27.36679463,1147.520264
750,,6.801852844,,9.00976975,26.8976245,1438.111108
750,,1.9969755,,7.442419375,26.5688865,574.5856748
750,,3.705062625,,9.9871715,28.80622075,967.1769611
750,,5.29316025,,9.67226625,26.68697688,1291.4372
750,,6.793030219,,10.019858,26.15716563,1630.924411
750,,3.770351156,,11.10249363,26.54335313,1062.08865
750,,5.377858875,,12.3605195,26.99975688,1440.072347
750,,3.641538844,,12.52793762,26.61676075,1168.293433
750,,3.80721075,,14.87665989,27.334169,1264.453803
769,,5.059974959,,0.517240857,29.01732457,468.6867246
769,,6.999496005,,0.804243,28.17473357,492.2936766
769,,8.566827642,,0.450729143,26.66098757,517.2421022
769,,9.961246306,,1.224040375,28.79983775,544.3479307
769,,11.55881824,,0.461093125,26.24334,575.2434328
769,,13.27502553,,1.058444714,27.37956129,606.2417599
769,,14.92041349,,0.517696125,26.53697013,641.391675
769,,16.40943012,,0.405287,26.1252495,681.5907836
769,,18.10108353,,1.305357375,26.79868375,728.9795941
769,,19.70589252,,0.750486875,26.51462875,780.3331483
769,,21.3536065,,0.714953143,27.17894414,839.6760377
769,,1.995097253,,1.9200205,26.2720645,427.9925138
769,,3.547437949,,1.845878375,27.13061375,478.4072387
769,,5.076258396,,1.491908875,25.850769,537.0515866
769,,6.729917054,,1.558876125,25.34968288,596.6346433
769,,8.280448389,,1.76216925,26.69336013,658.1508848
769,,9.916014976,,1.536553875,26.415688,725.2550415
769,,11.45569063,,1.8992925,28.66578913,791.7676187
769,,13.15639026,,1.325288375,26.66144363,864.1847717
769,,14.73406028,,1.586779125,26.87528313,947.1305052
769,,16.32982295,,1.884145125,28.93388613,1030.119531
769,,17.95091532,,1.84428375,25.83161925,1125.356348
769,,19.53944102,,1.78927525,27.5327595,1228.804091
769,,21.18948144,,1.786883375,28.640256,1344.955743
769,,2.043947209,,2.781824,26.71889313,456.745276
769,,3.590860015,,3.03454525,27.65084975,549.1272031
769,,5.103396983,,2.58411175,24.94115375,644.9268056
769,,6.682876555,,2.753124,26.08375813,748.2814086
769,,8.180939501,,3.141374,25.61777975,853.958923
769,,9.753181821,,2.891044375,26.78272575,962.5025392
769,,11.36160934,,3.07440675,26.75080938,1071.599332
769,,13.05326256,,3.234649625,27.762557,1192.064995
769,,14.74672523,,2.833643875,27.18168,1322.363281
769,,16.40038389,,2.930108375,27.50403475,1457.155127
769,,17.92558581,,3.156521375,26.5146285,1617.300673
769,,19.58105382,,3.26733575,26.58165288,1779.045032
769,,21.31793837,,3.096729125,27.62850838,1947.983534
769,,2.100034128,,3.8843905,27.90298888,486.708765
